	HS578T	MCF7	MDA-MB-231	T47D	ZR-75B
ACAA1	31.1981	30.6657	36.2297	44.6331	21.0484
ACAA2	42.1094	61.8149	22.7257	16.8141	21.5401
ACACA	27.979	34.9958	50.7792	78.8003	36.2987
ACACB	0.684542	4.40973	6.77692	2.54907	0.247754
ACAD10	7.32381	20.3968	8.57953	21.1216	12.999
ACAD11	12.2634	3.15778	7.17777	4.90435	1.43978
ACAD8	5.22213	15.5995	18.7972	35.482	8.97104
ACAD9	25.1411	10.2331	16.7488	29.4887	21.6326
ACADL	0	0.229156	0.11755	0	0
ACADM	19.7925	13.3078	65.1596	11.3693	22.1365
ACADS	2.5877	2.76451	8.05588	4.24357	0.0845676
ACADSB	3.92999	5.03753	3.9258	10.8399	12.1261
ACADVL	130.239	169.692	322.969	137.238	105.334
ACAN	0	0	0	0	0.0110518
ACAP1	1.13338	2.34671	1.11707	1.72087	0.513197
ACAP2	14.2542	11.4365	7.69878	15.8888	9.80325
ACAP2-IT1	0.357795	0.3597	0.310675	0.295035	0.248693
ACAP3	14.0495	11.0237	12.6925	11.5719	21.3896
ACAT1	80.8	20.3404	54.6702	75.618	43.3405
ACAT2	158.337	15.7916	159.503	76.462	100.767
ACBD3	17.9995	17.5189	26.1632	28.2206	27.2396
ACBD4	0.544504	8.87953	5.43622	11.3686	4.73574
ACBD5	12.7652	19.6065	21.0488	10.6106	18.2856
ACBD6	34.0562	70.1179	52.1381	63.3137	61.4126
ACBD7	0.870621	2.76632	5.78572	6.09593	3.51857
ACCS	3.70486	5.72428	6.59321	6.5319	1.79682
ACCSL	0	0	0	0	0
ACD	12.0641	16.8144	22.2959	8.45548	22.1824
ACE	1.65568	1.24981	0	2.7532	0.325963
ACE	5.42E-202	1.31E-133	0	2.58E-158	2.14E-122
ACE2	0	0.155127	0	0.0296225	0
ACE3P	0	0	0	0	0
ACER1	0	0.181062	0.0216893	5.02456	0.0417853
ACER2	0.826939	1.84351	0.596804	2.30687	2.30037
ACER3	18.1745	6.79402	19.5721	27.2698	4.80738
ACER3	0	0	0	0	0
ACHE	0	0.271389	0.0679945	0.122164	7.03002
ACIN1	58.5249	141.695	114.01	65.3727	91.2258
ACLY	119.878	93.3394	213.527	214.435	265.602
ACLY	0	0	0	0	0
ACMSD	8.35E-133	0	0.0314813	0.0358301	0.0309435
ACN9	16.4542	0	14.224	0.0548652	0.0141894
ACO1	31.7019	7.8788	111.451	16.8163	17.7225
ACO2	59.9882	65.8613	53.587	55.437	40.5054
ACOT1	4.00166	0.733676	6.29066	53.8123	6.74845
ACOT11	0.146568	0.129839	0.72385	0.478704	0.413161
ACOT12	0	0	0	0	0.0580137
ACOT13	25.6279	25.512	23.6912	39.8667	34.3264
ACOT2	21.1347	0.864804	17.9655	54.7284	10.9277
ACOT4	0.308258	2.64588	0.0635749	34.5469	3.1626
ACOT6	1.53E-07	1.15E-08	3.90E-08	1.37401	0
ACOT7	56.125	11.4746	45.4502	26.4152	29.5401
ACOT8	11.9037	10.4731	13.3337	27.2491	11.1316
ACOT9	31.7444	11.1036	42.3981	22.3874	0.185562
ACOX1	11.8512	19.4647	16.6735	43.5983	22.6275
ACOX2	0.981254	0.234659	26.7883	15.6968	0.166328
ACOX3	13.2042	22.1302	5.67999	7.22894	8.65405
ACOXL	0	0.176109	0.265381	0.0619162	0
ACP1	37.6041	65.2679	45.5106	45.6297	68.1391
ACP2	17.739	8.74821	15.8435	37.3303	19.627
ACP5	3.24989	0.974247	0.506935	0.343045	0.247428
ACP6	0.899358	20.3707	16.1992	10.8461	16.7755
ACP6	0	0	0	0	0
ACPL2	8.46918	4.41422	3.32659	6.70426	5.90252
ACPP	0.0163827	4.80477	0.29815	0.507085	0.634351
ACPT	0	0.127487	0	0	0
ACR	0	0.279924	0	0	0.161235
ACRBP	0.0754846	0.725102	0.166139	0	0
ACRC	0.129149	0.0699931	0.242723	0.281699	0.112994
ACRV1	0.320736	0.0438569	0.0871776	0.227313	0.111607
ACSBG1	0.0124257	0.189142	0.228886	0.229994	0.0892631
ACSBG2	0	0.203234	0.195235	0.35738	0.151151
ACSF2	7.62585	38.6888	17.9081	17.3087	14.6263
ACSF3	8.60413	43.3182	10.5991	17.6043	12.3617
ACSL1	24.9658	6.49005	35.8091	37.0523	8.52334
ACSL3	41.8844	19.6729	61.2708	34.6094	35.0549
ACSL4	46.6993	1.15113	69.8237	1.99458	23.3774
ACSL5	0.711498	0.0946052	69.0017	0.0700728	0.214963
ACSL6	0.0254093	0.0896972	0	0.327764	0.00425257
ACSM1	0	0.314303	0	0.924338	0.128512
ACSM2A	0	0	0	0	0
ACSM2B	0	0	0	0	0
ACSM3	0.0709751	3.32087	0.318547	2.70572	0.90598
ACSM4	0.0244429	0	0.0705814	0	0
ACSM5	0.329776	0.0148014	0	0	0
ACSS1	1.60947	6.34394	0.72232	18.7114	0.00769012
ACSS2	24.2572	23.8847	45.1249	33.3187	20.3571
ACSS3	0.614276	19.2744	19.169	4.57863	0.0130333
ACTA1	0.118441	0.0291461	0.0628431	0.0596728	0.226843
ACTA2	468.382	13.0055	3.42411	19.9197	2.1651
ACTB	2687.61	1096.34	1951.84	2617.8	1521.94
ACTBL2	0.110699	0	0	0	0.0205441
ACTBP1	0	0	0.0291343	0	0
ACTBP11	0.0248665	0	0	0	0
ACTBP12	0	0	0	0	0
ACTBP2	24.3275	5.54146	11.1788	15.5527	10.9924
ACTBP6	0	0	0	0	0
ACTBP7	0.348842	0	0.17284	0	0
ACTBP8	0	0	0	0	0
ACTBP9	0	0	0	0	0
ACTC1	0.0992671	0	0	0.00809605	0
ACTG1	3087.71	1820.33	2299.92	2032.58	1734.2
ACTG1	0	0	0	0	0
ACTG1P1	0	0.558077	0.0286601	0.261073	0.220717
ACTG1P10	0.364462	0.209305	0.240792	0.719758	0.695299
ACTG1P10	0	0	0	0	0
ACTG1P11	0	0	0	0	0
ACTG1P12	0	0	0	0	0
ACTG1P2	0	0	0	0	0
ACTG1P3	0.151045	0.121438	0.34925	0.198842	0.168095
ACTG1P4	0	0	0	0	0.0328767
ACTG1P9	0	0	0.0112169	0	0
ACTG2	336.818	0.0992214	0.0682206	0	0
ACTL10	0.051844	0.750116	0.47908	0.97122	2.66239
ACTL6A	60.3422	50.8313	59.1602	127.336	73.6847
ACTL6B	0	0.0840807	0	0	0.10498
ACTL7A	0	0	0	0	0
ACTL7B	0	0	0	0	0.0122196
ACTL8	0.0284433	0.0457274	0	0.130892	1.47248
ACTL9	0	0	0	0	0
ACTL9	0	0	0	0	0
ACTN1	272.605	42.8179	134.396	100.697	79.8274
ACTN1-AS1	0.147545	0	0.0855919	0.321574	0.0819627
ACTN2	0	0	0.0119474	2.47823	0.265393
ACTN3	0.0852136	0.0679589	0	0	0.00972813
ACTN4	747.034	206.561	642.212	182.192	370.389
ACTN4P1	0.741093	0.220282	0.593715	0.176136	0.405538
ACTN4P2	0	0.0224581	0	0	0.80873
ACTR10	24.9076	18.076	29.0321	51.6068	39.5431
ACTR1A	49.7415	26.4901	80.2235	101.149	58.0082
ACTR1B	20.1704	29.9056	34.1743	31.7716	15.9524
ACTR2	107.599	59.688	86.9048	58.089	80.7666
ACTR3	291.696	47.5124	161.811	68.5271	85.0977
ACTR3B	1.91484	8.26429	5.37878	5.17727	4.49588
ACTR3BP2	0	0	0	0	0
ACTR3BP3	0	0	0	0	0
ACTR3BP4	0	0	0	0	0
ACTR3BP5	0	0	0	0	0
ACTR3BP6	0	0	0	0	0
ACTR3C	0.167675	1.48524	1.33055	2.99142	1.31452
ACTR3P2	2.80827	0.317488	0.8622	0.490819	0.634895
ACTR3P3	0	0	0	0	0
ACTR5	4.42381	3.83732	5.31169	10.0877	12.0084
ACTR6	10.3423	60.4989	22.4334	18.5362	17.0348
ACTR6P1	0	0	0	0	0
ACTR8	15.6954	9.32045	16.2823	7.15134	5.46174
ACTRT1	0	0	0	0	0
ACTRT2	0	0	0	0	0
ACTRT3	2.55099	0.295954	0	1.12366	0.688082
ACVR1	32.1223	9.29681	10.7876	4.04097	2.13765
ACVR1B	3.3983	8.74204	4.0394	12.4737	10.6171
ACVR1C	0.527395	0.328524	0.290211	0.128684	0.346541
ACVR2A	3.11187	2.9905	2.36696	1.17088	1.08306
ACVR2B	0.264096	3.52917	1.32711	1.11834	1.82621
ACVR2B-AS1	0.0823209	1.67074	0.15449	0.229902	0.297901
ACVRL1	0	0.406297	0.652346	0	0.00683758
ACY1	12.5133	20.9992	38.4136	31.752	27.0451
ACY3	0.126827	0	0.0357958	0.245517	0
ACYP1	24.8595	11.7519	19.0968	12.752	7.84896
ACYP2	2.06038	1.24315	5.57796	1.38494	2.52993
AD000090.2	1.79567	4.55767	2.13231	2.83272	2.63597
AD000091.2	0	0	0	0	0
AD000091.3	0	0	0	0	0
AD000092.3	0.080859	0.39016	0.0935846	0.266573	0.179876
AD000671.6	0.178512	0.353626	0.153176	0.950847	0.129968
AD000684.2	0.224028	0.315217	0.0971452	0.295013	0.186969
AD000685.1	0	0	0	0	0
AD000864.1	0	0	0	0	0
AD000864.5	0	0	0	0	0
AD001527.4	1.91E-55	9.75E-167	0.102364	1.07E-210	2.80E-37
AD001527.5	0	0	0	0	0.0220978
ADA	5.89419	11.7181	2.76332	2.34235	18.3016
ADAD1	0	0	0	0	0
ADAD2	0	0.226769	0	0.392717	0
ADAL	4.42081	3.47996	4.34888	5.50963	4.3579
ADAM10	62.817	15.1674	76.1933	25.8637	26.3993
ADAM11	0.215773	1.03685	0.707148	1.6407	1.35161
ADAM12	98.7145	0.0371886	0.734112	0	0.0342382
ADAM15	29.8488	95.1738	109.421	160.785	109.916
ADAM17	10.7011	12.2204	13.2094	5.93021	8.26298
ADAM18	0	0	0	0	0
ADAM19	27.8867	1.79165	7.55033	0.340383	3.23149
ADAM1A	0.516664	1.14701	0.852529	1.21281	1.84901
ADAM1B	0.0263131	0.105755	0.091184	0.121075	0.161127
ADAM2	0	0	0	0	0
ADAM20	0.0184429	0	0.0106488	0.0242354	0.0205364
ADAM20P1	0	0.0271645	0.0097566	0.0885822	0.0188171
ADAM20P2	0	0	0	0	0
ADAM20P3	0	0	0	0	0
ADAM21	0.0647704	0	0.0237187	0.113505	0.114188
ADAM21P1	0	0	0.0222089	0.0337014	0.0356783
ADAM22	0.177649	4.09118	4.84251	2.40667	5.33425
ADAM23	7.77581	0.362489	0.460611	0.0124858	0.481187
ADAM24P	0	0	0	0	0
ADAM28	0.131874	0.16372	0.157352	0	0.110513
ADAM29	0	0.0184642	0	0	0
ADAM30	0	0	0	0	0
ADAM32	0.801351	0.544553	0.135152	0.181533	0.0134323
ADAM33	1.46669	0.0177302	0	0.00969786	0
ADAM3A	0	0	0	0	0
ADAM3B	0	0	0	0	0
ADAM5	0	0	0	0	0.0293776
ADAM6	0	0.0231196	0	0	0
ADAM7	0.015189	0	0	0	0
ADAM8	0.0333013	1.46042	11.0689	0.478953	1.27021
ADAM9	199.82	22.5078	84.2647	58.3181	12.8502
ADAMDEC1	0.100081	0	0	0	0
ADAMTS1	82.6606	0	0.768942	0.461703	11.0293
ADAMTS10	0.697391	0.711217	0	0.0932108	0.808606
ADAMTS10	0	0	0	0	0
ADAMTS12	43.4305	0	0.315472	0	0.00315135
ADAMTS13	0.0483064	5.26814	0.552261	1.74524	1.13856
ADAMTS13	0	0	0	0	0
ADAMTS14	14.6509	0.0153387	0.00550514	0.0188026	0.0372056
ADAMTS15	13.6168	0.0994566	3.57136	5.38373	0.986882
ADAMTS16	5.90848	0	1.24473	0.0126434	0
ADAMTS17	0.415216	0.131598	2.67836	0.341513	1.77952
ADAMTS18	0.353733	7.78E-11	0.0645373	0	0
ADAMTS19	0	3.7501	0	0.24344	0.302115
ADAMTS2	23.1886	0.020661	0.00426426	0.067581	3.2404
ADAMTS20	0	0.137844	0.147376	0.368924	0.00605783
ADAMTS3	1.61556	0.0069126	0.474954	0.245787	0.230106
ADAMTS4	5.40597	0.01874	0.0528039	0.275653	0.421954
ADAMTS5	6.09633	0	0	0	0
ADAMTS6	5.45495	0.326389	0.758113	0.409027	0.0417434
ADAMTS7	2.26227	1.71456	0.826681	1.76902	0.649573
ADAMTS8	0	0.0101529	0.0291693	0.107894	0.245107
ADAMTS9	0.0138819	0.130141	0.403904	0	0.0390576
ADAMTS9-AS1	0	0	0	0	0
ADAMTS9-AS2	0	0	0.0308945	0	0
ADAMTSL1	19.6884	0.0865149	2.94693	0	0
ADAMTSL2	0	0.31239	0	0.0179161	0
ADAMTSL3	0	0.591851	0.899864	0.235678	2.78839
ADAMTSL4	0.207835	0.166	0.371682	1.47761	0.167888
ADAMTSL5	4.23219	5.67007	7.14099	10.6626	8.08393
ADAP1	0.470744	5.23323	4.38333	30.0172	13.6571
ADAP2	0.110999	0.991316	0.703957	1.50999	2.49994
ADAR	30.1875	92.0237	58.4081	95.4036	125.206
ADARB1	2.88712	5.81714	5.92738	4.32945	3.26327
ADARB2	0	0	0	0.516126	0
ADARB2-AS1	0	0	0	0	0
