gene_id	gene_name	BT-474_count	BT-474_FPKM											
ENSG00000282222	RP11-126O22.8	0	0											
ENSG00000282221	RP11-27G14.4	4	0.681016544											
ENSG00000110514	MADD	799	5.418934032											
ENSG00000086015	MAST2	1382	11.71236947											
ENSG00000250337	LINC01021	0	0											
ENSG00000169740	ZNF32	247	8.757396249											
ENSG00000215869	RP11-364B6.2	0	0											
ENSG00000261609	GAN	477	2.919649658											
ENSG00000169744	LDB2	3	0.023866199											
ENSG00000261607	RP11-812E19.5	0	0											
ENSG00000261606	RP11-414J4.2	1	0.009770869											
ENSG00000215866	LINC01356	0	0											
ENSG00000261604	CTD-2636A23.2	2	0.068396893											
ENSG00000261603	PRSS46	1	0.096445047											
ENSG00000261602	CTD-2033A16.1	2	0.329256694											
ENSG00000261600	RP11-575H3.1	3	0.537938703											
ENSG00000266469	CTB-131K11.1	1892	208.2632962											
ENSG00000168298	HIST1H1E	2	0.25109098											
ENSG00000168297	PXK	94	0.726471063											
ENSG00000266460	RP11-173L6.1	0	0											
ENSG00000266466	RP11-822E23.2	0	0											
ENSG00000266467	RN7SL220P	0	0											
ENSG00000168291	PDHB	488	4.506987673											
ENSG00000262558	RP11-1260E13.3	0	0											
ENSG00000270591	RP11-73M18.11	0	0											
ENSG00000262554	LA16c-360H6.2	3	1.365536707											
ENSG00000254141	RP11-642D21.1	0	0											
ENSG00000225108	ZBTB45P1	1	0.065047415											
ENSG00000281046	Metazoa_SRP	0	0											
ENSG00000270593	RP11-455J15.1	0	0											
ENSG00000225100	DPY19L2P5	0	0											
ENSG00000225101	OR52K3P	0	0											
ENSG00000225102	RP11-456H18.1	0	0											
ENSG00000233579	KRT8P15	0	0											
ENSG00000225105	LINC01076	0	0											
ENSG00000225106	RP11-429E11.2	0	0											
ENSG00000225107	AC092484.1	0	0											
ENSG00000226457	RP11-430L17.1	2	0.496909709											
ENSG00000226455	RP3-512E2.2	0	0											
ENSG00000226454	RP3-462C17.1	0	0											
ENSG00000149792	MRPL49	3379	31.25290355											
ENSG00000226450	CYP2D8P	8	0.508248588											
ENSG00000141854	CTB-55O6.8	82	1.342995326											
ENSG00000149798	CDC42EP2	359	10.2921838											
ENSG00000183055	FAM133CP	12	1.613544879											
ENSG00000183054	RGPD6	41	0.218650019											
ENSG00000251078	SLC25A5P9	0	0											
ENSG00000250566	UGT2B29P	0	0											
ENSG00000259244	RP11-182J1.12	9	1.731706164											
ENSG00000250564	RP11-215P8.4	0	0											
ENSG00000250565	ATP6V1E2	53	0.703785602											
ENSG00000250562	RPL38P4	0	0											
ENSG00000250563	KNOP1P5	8	0.549557617											
ENSG00000187961	KLHL17	208	3.519269722											
ENSG00000250561	OR7E59P	0	0											
ENSG00000250568	RP11-333E13.2	2	0.601024124											
ENSG00000250569	NTAN1P2	11	1.107789395											
ENSG00000281591	DBET	1	0.028162068											
ENSG00000220685	RP11-530A18.1	3	0.239083868											
ENSG00000162843	WDR64	0	0											
ENSG00000259247	TTTY25P	0	0											
ENSG00000162849	KIF26B	10	0.055221853											
ENSG00000149243	KLHL35	103	1.249909433											
ENSG00000184702	5-Sep	224	1.611321456											
ENSG00000259242	AC002306.1	1	0.101076879											
ENSG00000184708	EIF4ENIF1	522	4.520234477											
ENSG00000184709	LRRC26	993	77.75222634											
ENSG00000163462	TRIM46	20	0.220950107											
ENSG00000163463	KRTCAP2	351	6.337497712											
ENSG00000163464	CXCR1	1	0.038066333											
ENSG00000163466	ARPC2	1955	16.7696933											
ENSG00000163467	TSACC	23	0.915968711											
ENSG00000163468	CCT3	8056	101.3047645											
ENSG00000162599	NFIA	680	3.608917501											
ENSG00000162598	C1orf87	1	0.017179219											
ENSG00000267731	RP11-147L13.8	4	0.129717437											
ENSG00000162592	CCDC27	1	0.02766843											
ENSG00000029364	SLC39A9	870	5.388907425											
ENSG00000267732	RP11-456O19.3	0	0											
ENSG00000267735	CTD-2265O21.7	0	0											
ENSG00000029363	BCLAF1	2181	8.076066819											
ENSG00000267737	AC061992.2	0	0											
ENSG00000162594	IL23R	0	0											
ENSG00000263609	RP11-1109M24.16	0	0											
ENSG00000263608	RN7SL353P	0	0											
ENSG00000118640	VAMP8	455	29.32107389											
ENSG00000263603	CTD-2349P21.5	0	0											
ENSG00000168488	ATXN2L	1843	9.565120195											
ENSG00000263606	RP11-737O24.3	6	0.252542373											
ENSG00000259169	GNRHR2P1	51	7.651291537											
ENSG00000253144	RP11-281O15.7	0	0											
ENSG00000253147	RP11-369E15.4	0	0											
ENSG00000253146	CIR1P1	0	0											
ENSG00000253141	CTB-164N12.1	0	0											
ENSG00000115073	ACTR1B	462	11.61937683											
ENSG00000253143	RP11-333A23.3	0	0											
ENSG00000253142	RP11-87E22.1	0	0											
ENSG00000259161	CTD-2017C7.3	1	0.129916373											
ENSG00000259163	RP11-1078H9.5	3	0.164942878											
ENSG00000259162	RP11-203M5.6	0	0											
ENSG00000259165	DDX18P1	4	0.190082931											
ENSG00000259164	RP11-463C8.4	7	1.098966556											
ENSG00000259167	NMNAT1P1	0	0											
ENSG00000259166	RP11-1029J19.2	0	0											
ENSG00000213853	EMP2	2231	22.99628747											
ENSG00000213851	RP11-324J13.1	0	0											
ENSG00000258590	NBEAP1	1	0.024631739											
ENSG00000213857	RP11-12M9.4	2	0.178606226											
ENSG00000213856	VDAC1P2	130	14.47817213											
ENSG00000213854	CNN2P6	0	0											
ENSG00000213859	KCTD11	96	2.603227342											
ENSG00000178773	CPNE7	24	0.426900914											
ENSG00000225816	GTF3AP5	0	0											
ENSG00000280881	RP11-275E15.2	0	0											
ENSG00000225814	GRPEL2P2	0	0											
ENSG00000225815	AC092669.6	0	0											
ENSG00000225813	AC009299.4	0	0											
ENSG00000225811	RP11-547I7.1	0	0											
ENSG00000225818	AC118653.2	0	0											
ENSG00000225819	AC013269.3	0	0											
ENSG00000229306	AP001464.4	0	0											
ENSG00000229307	LINC00459	0	0											
ENSG00000229305	RP11-431K24.2	0	0											
ENSG00000229302	TAF9P2	0	0											
ENSG00000229303	PPIAP25	0	0											
ENSG00000229301	RP5-905H7.8	0	0											
ENSG00000229308	AC010084.1	0	0											
ENSG00000229309	RP11-452B18.2	0	0											
ENSG00000278071	RP11-736N17.10	0	0											
ENSG00000240174	RP11-851M3.1	0	0											
ENSG00000278077	RP11-157L3.10	0	0											
ENSG00000278075	RP11-248M19.1	0	0											
ENSG00000055070	SZRD1	1709	15.9611978											
ENSG00000227411	BAATP1	0	0											
ENSG00000155719	OTOA	1	0.010466243											
ENSG00000227413	RP5-1042K10.12	1	0.266786017											
ENSG00000227416	RP11-109P14.2	0	0											
ENSG00000227417	RP11-397P13.6	0	0											
ENSG00000162337	LRP5	1759	20.6646757											
ENSG00000155714	PDZD9	3	0.201013188											
ENSG00000182010	RTKN2	384	3.699132098											
ENSG00000182013	PNMAL1	0	0											
ENSG00000244748	RN7SL153P	0	0											
ENSG00000186704	DTX2P1	21	1.217351517											
ENSG00000251776	RN7SKP242	0	0											
ENSG00000245293	RP11-286E11.1	1	0.027467818											
ENSG00000164659	KIAA1324L	66	0.528724058											
ENSG00000242748	RPL23AP81	0	0											
ENSG00000242747	RP11-30K9.1	0	0											
ENSG00000164651	SP8	0	0											
ENSG00000242741	RP11-20B7.1	0	0											
ENSG00000164654	MIOS	608	4.808786155											
ENSG00000114978	MOB1A	2027	23.713079											
ENSG00000252233	RN7SKP253	0	0											
ENSG00000256925	ADGRA1-AS1	0	0											
ENSG00000161021	MAML1	1220	9.859267854											
ENSG00000256922	RP11-749H20.1	0	0											
ENSG00000256923	RP11-449P1.1	0	0											
ENSG00000226331	RPL23AP28	0	0											
ENSG00000261608	SLC25A1P4	0	0											
ENSG00000256928	RP11-809N8.2	0	0											
ENSG00000254694	RP11-50B3.4	0	0											
ENSG00000254695	RP11-396O20.1	0	0											
ENSG00000254696	RP11-72M10.7	0	0											
ENSG00000254697	COPS8P3	0	0											
