gene_id	gene_name	SUM-159159_count	SUM159_FPKM											
ENSG00000282222	RP11-126O22.8	0	0											
ENSG00000282221	RP11-27G14.4	0	0											
ENSG00000110514	MADD	867	6.079806102											
ENSG00000086015	MAST2	784	6.869999798											
ENSG00000250337	LINC01021	4	0.114645508											
ENSG00000169740	ZNF32	112	4.105836097											
ENSG00000215869	RP11-364B6.2	29	0.504271906											
ENSG00000261609	GAN	213	1.348014245											
ENSG00000169744	LDB2	19	0.156265508											
ENSG00000261607	RP11-812E19.5	0	0											
ENSG00000261606	RP11-414J4.2	1	0.010095558											
ENSG00000215866	LINC01356	0	0											
ENSG00000261604	CTD-2636A23.2	0	0											
ENSG00000261603	PRSS46	0	0											
ENSG00000261602	CTD-2033A16.1	2	0.340525094											
ENSG00000261600	RP11-575H3.1	4	0.741504565											
ENSG00000266469	CTB-131K11.1	103	11.72279985											
ENSG00000168298	HIST1H1E	6	0.778934137											
ENSG00000168297	PXK	1230	9.828748133											
ENSG00000266460	RP11-173L6.1	0	0											
ENSG00000266466	RP11-822E23.2	0	0											
ENSG00000266467	RN7SL220P	0	0											
ENSG00000168291	PDHB	653	6.23566825											
ENSG00000262558	RP11-1260E13.3	0	0											
ENSG00000270591	RP11-73M18.11	0	0											
ENSG00000262554	LA16c-360H6.2	1	0.470462695											
ENSG00000254141	RP11-642D21.1	0	0											
ENSG00000225108	ZBTB45P1	10	0.672273866											
ENSG00000281046	Metazoa_SRP	0	0											
ENSG00000270593	RP11-455J15.1	0	0											
ENSG00000225100	DPY19L2P5	0	0											
ENSG00000225101	OR52K3P	0	0											
ENSG00000225102	RP11-456H18.1	0	0											
ENSG00000233579	KRT8P15	1	0.067440552											
ENSG00000225105	LINC01076	0	0											
ENSG00000225106	RP11-429E11.2	0	0											
ENSG00000225107	AC092484.1	0	0											
ENSG00000226457	RP11-430L17.1	2	0.513915824											
ENSG00000226455	RP3-512E2.2	0	0											
ENSG00000226454	RP3-462C17.1	0	0											
ENSG00000149792	MRPL49	544	5.20241088											
ENSG00000226450	CYP2D8P	7	0.459847369											
ENSG00000141854	CTB-55O6.8	11	0.186278026											
ENSG00000149798	CDC42EP2	270	8.003520653											
ENSG00000183055	FAM133CP	8	1.112256847											
ENSG00000183054	RGPD6	50	0.27570136											
ENSG00000251078	SLC25A5P9	0	0											
ENSG00000250566	UGT2B29P	0	0											
ENSG00000259244	RP11-182J1.12	4	0.795760996											
ENSG00000250564	RP11-215P8.4	0	0											
ENSG00000250565	ATP6V1E2	34	0.466814029											
ENSG00000250562	RPL38P4	0	0											
ENSG00000250563	KNOP1P5	0	0											
ENSG00000187961	KLHL17	429	7.505008803											
ENSG00000250561	OR7E59P	0	0											
ENSG00000250568	RP11-333E13.2	2	0.621593426											
ENSG00000250569	NTAN1P2	6	0.624804616											
ENSG00000281591	DBET	1	0.029097901											
ENSG00000220685	RP11-530A18.1	0	0											
ENSG00000162843	WDR64	2	0.027749707											
ENSG00000259247	TTTY25P	0	0											
ENSG00000162849	KIF26B	3	0.017130916											
ENSG00000149243	KLHL35	6	0.075287314											
ENSG00000184702	5-Sep	163	1.212341449											
ENSG00000259242	AC002306.1	0	0											
ENSG00000184708	EIF4ENIF1	294	2.632337327											
ENSG00000184709	LRRC26	1	0.080939818											
ENSG00000163462	TRIM46	12	0.13706888											
ENSG00000163463	KRTCAP2	334	6.235333923											
ENSG00000163464	CXCR1	0	0											
ENSG00000163466	ARPC2	3828	33.95110447											
ENSG00000163467	TSACC	7	0.28825098											
ENSG00000163468	CCT3	3363	43.72612049											
ENSG00000162599	NFIA	240	1.316994023											
ENSG00000162598	C1orf87	1	0.017750089											
ENSG00000267731	RP11-147L13.8	2	0.067078427											
ENSG00000162592	CCDC27	0	0											
ENSG00000029364	SLC39A9	751	4.809777974											
ENSG00000267732	RP11-456O19.3	0	0											
ENSG00000267735	CTD-2265O21.7	1	0.214597019											
ENSG00000029363	BCLAF1	2000	7.657339663											
ENSG00000267737	AC061992.2	10	0.678800797											
ENSG00000162594	IL23R	1	0.015306779											
ENSG00000263609	RP11-1109M24.16	1	0.039283918											
ENSG00000263608	RN7SL353P	0	0											
ENSG00000118640	VAMP8	6	0.399806902											
ENSG00000263603	CTD-2349P21.5	3	0.254249497											
ENSG00000168488	ATXN2L	1553	8.333744773											
ENSG00000263606	RP11-737O24.3	13	0.565762326											
ENSG00000259169	GNRHR2P1	23	3.567718257											
ENSG00000253144	RP11-281O15.7	0	0											
ENSG00000253147	RP11-369E15.4	0	0											
ENSG00000253146	CIR1P1	0	0											
ENSG00000253141	CTB-164N12.1	2	0.162491227											
ENSG00000115073	ACTR1B	479	12.45603058											
ENSG00000253143	RP11-333A23.3	0	0											
ENSG00000253142	RP11-87E22.1	0	0											
ENSG00000259161	CTD-2017C7.3	0	0											
ENSG00000259163	RP11-1078H9.5	1	0.056827085											
ENSG00000259162	RP11-203M5.6	1	0.078662573											
ENSG00000259165	DDX18P1	3	0.14741876											
ENSG00000259164	RP11-463C8.4	3	0.486995306											
ENSG00000259167	NMNAT1P1	0	0											
ENSG00000259166	RP11-1029J19.2	0	0											
ENSG00000213853	EMP2	7	0.074605028											
ENSG00000213851	RP11-324J13.1	0	0											
ENSG00000258590	NBEAP1	12	0.305472882											
ENSG00000213857	RP11-12M9.4	1	0.092317208											
ENSG00000213856	VDAC1P2	100	11.51523494											
ENSG00000213854	CNN2P6	0	0											
ENSG00000213859	KCTD11	121	3.392571595											
ENSG00000178773	CPNE7	318	5.848515242											
