gene_id	gene_name	HBL-100_count	HBL-100_FPKM											
ENSG00000282222	RP11-126O22.8	0	0											
ENSG00000282221	RP11-27G14.4	0	0											
ENSG00000110514	MADD	917	6.27694431											
ENSG00000086015	MAST2	1091	9.331971081											
ENSG00000250337	LINC01021	2	0.055954357											
ENSG00000169740	ZNF32	465	16.6396419											
ENSG00000215869	RP11-364B6.2	0	0											
ENSG00000261609	GAN	214	1.32201703											
ENSG00000169744	LDB2	6	0.048168422											
ENSG00000261607	RP11-812E19.5	0	0											
ENSG00000261606	RP11-414J4.2	10	0.098568106											
ENSG00000215866	LINC01356	0	0											
ENSG00000261604	CTD-2636A23.2	0	0											
ENSG00000261603	PRSS46	0	0											
ENSG00000261602	CTD-2033A16.1	0	0											
ENSG00000261600	RP11-575H3.1	12	2.171410573											
ENSG00000266469	CTB-131K11.1	124	13.77607562											
ENSG00000168298	HIST1H1E	5	0.633637352											
ENSG00000168297	PXK	975	7.605121474											
ENSG00000266460	RP11-173L6.1	0	0											
ENSG00000266466	RP11-822E23.2	0	0											
ENSG00000266467	RN7SL220P	3	0.955594777											
ENSG00000168291	PDHB	762	7.102859257											
ENSG00000262558	RP11-1260E13.3	0	0											
ENSG00000270591	RP11-73M18.11	0	0											
ENSG00000262554	LA16c-360H6.2	1	0.459587993											
ENSG00000254141	RP11-642D21.1	0	0											
ENSG00000225108	ZBTB45P1	2	0.131239101											
ENSG00000281046	Metazoa_SRP	0	0											
ENSG00000270593	RP11-455J15.1	0	0											
ENSG00000225100	DPY19L2P5	0	0											
ENSG00000225101	OR52K3P	0	0											
ENSG00000225102	RP11-456H18.1	0	0											
ENSG00000233579	KRT8P15	0	0											
ENSG00000225105	LINC01076	0	0											
ENSG00000225106	RP11-429E11.2	4	0.23649026											
ENSG00000225107	AC092484.1	0	0											
ENSG00000226457	RP11-430L17.1	1	0.250903681											
ENSG00000226455	RP3-512E2.2	0	0											
ENSG00000226454	RP3-462C17.1	0	0											
ENSG00000149792	MRPL49	484	4.518143171											
ENSG00000226450	CYP2D8P	0	0											
ENSG00000141854	CTB-55O6.8	22	0.363654919											
ENSG00000149798	CDC42EP2	212	6.134231147											
ENSG00000183055	FAM133CP	9	1.221492648											
ENSG00000183054	RGPD6	31	0.166855741											
ENSG00000251078	SLC25A5P9	0	0											
ENSG00000250566	UGT2B29P	0	0											
ENSG00000259244	RP11-182J1.12	9	1.747826878											
ENSG00000250564	RP11-215P8.4	0	0											
ENSG00000250565	ATP6V1E2	67	0.897948531											
ENSG00000250562	RPL38P4	0	0											
ENSG00000250563	KNOP1P5	0	0											
ENSG00000187961	KLHL17	227	3.876392219											
ENSG00000250561	OR7E59P	0	0											
ENSG00000250568	RP11-333E13.2	1	0.303473976											
ENSG00000250569	NTAN1P2	0	0											
ENSG00000281591	DBET	1	0.028425306											
ENSG00000220685	RP11-530A18.1	0	0											
ENSG00000162843	WDR64	2	0.027081084											
ENSG00000259247	TTTY25P	0	0											
ENSG00000162849	KIF26B	3	0.016723745											
ENSG00000149243	KLHL35	0	0											
ENSG00000184702	5-Sep	538	3.905962529											
ENSG00000259242	AC002306.1	0	0											
ENSG00000184708	EIF4ENIF1	311	2.71808017											
ENSG00000184709	LRRC26	11	0.869325852											
ENSG00000163462	TRIM46	40	0.446001527											
ENSG00000163463	KRTCAP2	409	7.453248857											
ENSG00000163464	CXCR1	1	0.038422147											
ENSG00000163466	ARPC2	3694	31.98064955											
ENSG00000163467	TSACC	1	0.040216366											
ENSG00000163468	CCT3	4599	58.36947766											
ENSG00000162599	NFIA	99	0.530292155											
ENSG00000162598	C1orf87	3	0.052000441											
ENSG00000267731	RP11-147L13.8	0	0											
ENSG00000162592	CCDC27	0	0											
ENSG00000029364	SLC39A9	1335	8.345926767											
ENSG00000267732	RP11-456O19.3	0	0											
ENSG00000267735	CTD-2265O21.7	3	0.628680774											
ENSG00000029363	BCLAF1	1730	6.465503369											
ENSG00000267737	AC061992.2	8	0.530053066											
ENSG00000162594	IL23R	1	0.014952965											
ENSG00000263609	RP11-1109M24.16	0	0											
ENSG00000263608	RN7SL353P	0	0											
ENSG00000118640	VAMP8	6	0.390233078											
ENSG00000263603	CTD-2349P21.5	8	0.661763222											
ENSG00000168488	ATXN2L	2359	12.35677331											
ENSG00000263606	RP11-737O24.3	7	0.297397374											
ENSG00000259169	GNRHR2P1	49	7.419355678											
ENSG00000253144	RP11-281O15.7	0	0											
ENSG00000253147	RP11-369E15.4	0	0											
ENSG00000253146	CIR1P1	1	0.08437273											
ENSG00000253141	CTB-164N12.1	2	0.158576042											
ENSG00000115073	ACTR1B	584	14.82399212											
ENSG00000253143	RP11-333A23.3	0	0											
ENSG00000253142	RP11-87E22.1	0	0											
ENSG00000259161	CTD-2017C7.3	0	0											
ENSG00000259163	RP11-1078H9.5	0	0											
ENSG00000259162	RP11-203M5.6	1	0.076844295											
ENSG00000259165	DDX18P1	2	0.095925768											
ENSG00000259164	RP11-463C8.4	0	0											
ENSG00000259167	NMNAT1P1	0	0											
ENSG00000259166	RP11-1029J19.2	0	0											
ENSG00000213853	EMP2	580	6.033900054											
ENSG00000213851	RP11-324J13.1	0	0											
ENSG00000258590	NBEAP1	3	0.07455876											
ENSG00000213857	RP11-12M9.4	0	0											
ENSG00000213856	VDAC1P2	94	10.5659513											
ENSG00000213854	CNN2P6	0	0											
ENSG00000213859	KCTD11	277	7.581100601											
ENSG00000178773	CPNE7	2	0.035904572											
ENSG00000225816	GTF3AP5	1	0.13715108											
