gene_id	gene_name	BT-549_count	BT-549_FPKM
ENSG00000282222	RP11-126O22.8	0	0
ENSG00000282221	RP11-27G14.4	0	0
ENSG00000110514	MADD	792	5.322722868
ENSG00000086015	MAST2	1302	10.93425902
ENSG00000250337	LINC01021	0	0
ENSG00000169740	ZNF32	282	9.907630668
ENSG00000215869	RP11-364B6.2	0	0
ENSG00000261609	GAN	125	0.758165104
ENSG00000169744	LDB2	1	0.007878695
ENSG00000261607	RP11-812E19.5	0	0
ENSG00000261606	RP11-414J4.2	1	0.009673409
ENSG00000215866	LINC01356	4	0.140481602
ENSG00000261604	CTD-2636A23.2	5	0.169433061
ENSG00000261603	PRSS46	1	0.095483049
ENSG00000261602	CTD-2033A16.1	2	0.326283791
ENSG00000261600	RP11-575H3.1	0	0
ENSG00000266469	CTB-131K11.1	255	27.81459735
ENSG00000168298	HIST1H1E	1	0.124355907
ENSG00000168297	PXK	307	2.351089591
ENSG00000266460	RP11-173L6.1	0	0
ENSG00000266466	RP11-822E23.2	0	0
ENSG00000266467	RN7SL220P	0	0
ENSG00000168291	PDHB	486	4.447788659
ENSG00000262558	RP11-1260E13.3	0	0
ENSG00000270591	RP11-73M18.11	0	0
ENSG00000262554	LA16c-360H6.2	2	0.901986442
ENSG00000254141	RP11-642D21.1	0	0
ENSG00000225108	ZBTB45P1	2	0.128855206
ENSG00000281046	Metazoa_SRP	0	0
ENSG00000270593	RP11-455J15.1	0	0
ENSG00000225100	DPY19L2P5	0	0
ENSG00000225101	OR52K3P	0	0
ENSG00000225102	RP11-456H18.1	0	0
ENSG00000233579	KRT8P15	3	0.193919734
ENSG00000225105	LINC01076	0	0
ENSG00000225106	RP11-429E11.2	0	0
ENSG00000225107	AC092484.1	0	0
ENSG00000226457	RP11-430L17.1	4	0.984846088
ENSG00000226455	RP3-512E2.2	0	0
ENSG00000226454	RP3-462C17.1	0	0
ENSG00000149792	MRPL49	579	5.306673608
ENSG00000226450	CYP2D8P	6	0.377744657
ENSG00000141854	CTB-55O6.8	17	0.275894428
ENSG00000149798	CDC42EP2	64	1.818177394
ENSG00000183055	FAM133CP	4	0.532991988
ENSG00000183054	RGPD6	51	0.26951123
ENSG00000251078	SLC25A5P9	0	0
ENSG00000250566	UGT2B29P	0	0
ENSG00000259244	RP11-182J1.12	1	0.190577955
ENSG00000250564	RP11-215P8.4	0	0
ENSG00000250565	ATP6V1E2	29	0.381589125
ENSG00000250562	RPL38P4	0	0
ENSG00000250563	KNOP1P5	0	0
ENSG00000187961	KLHL17	626	10.49556244
ENSG00000250561	OR7E59P	0	0
ENSG00000250568	RP11-333E13.2	7	2.084456804
ENSG00000250569	NTAN1P2	3	0.299337802
ENSG00000281591	DBET	1	0.027881164
ENSG00000220685	RP11-530A18.1	0	0
ENSG00000162843	WDR64	0	0
ENSG00000259247	TTTY25P	0	0
ENSG00000162849	KIF26B	88	0.481564573
ENSG00000149243	KLHL35	25	0.300618191
ENSG00000184702	5-Sep	378	2.694431766
ENSG00000259242	AC002306.1	0	0
ENSG00000184708	EIF4ENIF1	321	2.754462921
ENSG00000184709	LRRC26	4	0.310360926
ENSG00000163462	TRIM46	125	1.368395554
ENSG00000163463	KRTCAP2	596	10.66345111
ENSG00000163464	CXCR1	1	0.037686637
ENSG00000163466	ARPC2	1986	16.88104493
ENSG00000163467	TSACC	9	0.355160738
ENSG00000163468	CCT3	6282	78.27985084
ENSG00000162599	NFIA	0	0
ENSG00000162598	C1orf87	1	0.017007864
ENSG00000267731	RP11-147L13.8	0	0
ENSG00000162592	CCDC27	0	0
ENSG00000029364	SLC39A9	463	2.84187165
ENSG00000267732	RP11-456O19.3	0	0
ENSG00000267735	CTD-2265O21.7	2	0.411432412
ENSG00000029363	BCLAF1	1821	6.681837148
ENSG00000267737	AC061992.2	0	0
ENSG00000162594	IL23R	0	0
ENSG00000263609	RP11-1109M24.16	0	0
ENSG00000263608	RN7SL353P	0	0
ENSG00000118640	VAMP8	2	0.127714894
ENSG00000263603	CTD-2349P21.5	0	0
ENSG00000168488	ATXN2L	2533	13.02693012
ENSG00000263606	RP11-737O24.3	10	0.417103557
ENSG00000259169	GNRHR2P1	52	7.730495524
ENSG00000253144	RP11-281O15.7	0	0
ENSG00000253147	RP11-369E15.4	0	0
ENSG00000253146	CIR1P1	1	0.082757594
ENSG00000253141	CTB-164N12.1	1	0.077812742
ENSG00000115073	ACTR1B	133	3.314621207
ENSG00000253143	RP11-333A23.3	0	0
ENSG00000253142	RP11-87E22.1	0	0
ENSG00000259161	CTD-2017C7.3	0	0
ENSG00000259163	RP11-1078H9.5	0	0
ENSG00000259162	RP11-203M5.6	0	0
ENSG00000259165	DDX18P1	1	0.047070459
ENSG00000259164	RP11-463C8.4	1	0.155496441
ENSG00000259167	NMNAT1P1	0	0
ENSG00000259166	RP11-1029J19.2	0	0
ENSG00000213853	EMP2	499	5.096828962
ENSG00000213851	RP11-324J13.1	1	0.104531052
ENSG00000258590	NBEAP1	0	0
ENSG00000213857	RP11-12M9.4	1	0.088456937
ENSG00000213856	VDAC1P2	118	13.02246252
ENSG00000213854	CNN2P6	0	0
ENSG00000213859	KCTD11	160	4.299332545
ENSG00000178773	CPNE7	470	8.28427815
ENSG00000225816	GTF3AP5	0	0
ENSG00000280881	RP11-275E15.2	0	0
ENSG00000225814	GRPEL2P2	0	0
ENSG00000225815	AC092669.6	0	0
ENSG00000225813	AC009299.4	0	0
ENSG00000225811	RP11-547I7.1	0	0
ENSG00000225818	AC118653.2	0	0
