,MCF7_count,T47D_count,BT-474_count,BT-549_count,HBL-100_count,SUM-159159_count
ENSG00000282222,0,0,0,0,0,0
ENSG00000282221,24,15,4,0,0,0
ENSG00000110514,1392,1290,799,792,917,867
ENSG00000086015,1211,974,1382,1302,1091,784
ENSG00000250337,51,55,0,0,2,4
ENSG00000169740,239,391,247,282,465,112
ENSG00000215869,0,1,0,0,0,29
ENSG00000261609,843,238,477,125,214,213
ENSG00000169744,1,0,3,1,6,19
ENSG00000261607,0,0,0,0,0,0
ENSG00000261606,3,0,1,1,10,1
ENSG00000215866,1,8,0,4,0,0
ENSG00000261604,3,7,2,5,0,0
ENSG00000261603,0,0,1,1,0,0
ENSG00000261602,1,1,2,2,0,2
ENSG00000261600,4,0,3,0,12,4
ENSG00000266469,84,259,1892,255,124,103
ENSG00000168298,4,4,2,1,5,6
ENSG00000168297,127,832,94,307,975,1230
ENSG00000266460,0,0,0,0,0,0
ENSG00000266466,0,0,0,0,0,0
ENSG00000266467,1,0,0,0,3,0
ENSG00000168291,475,1295,488,486,762,653
ENSG00000262558,2,0,0,0,0,0
ENSG00000270591,2,3,0,0,0,0
ENSG00000262554,3,4,3,2,1,1
ENSG00000254141,0,2,0,0,0,0
ENSG00000225108,7,0,1,2,2,10
ENSG00000281046,0,0,0,0,0,0
ENSG00000270593,0,0,0,0,0,0
ENSG00000225100,0,0,0,0,0,0
ENSG00000225101,0,0,0,0,0,0
ENSG00000225102,0,0,0,0,0,0
ENSG00000233579,1,0,0,3,0,1
ENSG00000225105,0,0,0,0,0,0
ENSG00000225106,0,0,0,0,4,0
ENSG00000225107,0,0,0,0,0,0
ENSG00000226457,1,3,2,4,1,2
ENSG00000226455,0,0,0,0,0,0
ENSG00000226454,0,0,0,0,0,0
ENSG00000149792,1143,2452,3379,579,484,544
ENSG00000226450,8,0,8,6,0,7
ENSG00000141854,300,103,82,17,22,11
ENSG00000149798,102,68,359,64,212,270
ENSG00000183055,6,3,12,4,9,8
ENSG00000183054,67,4,41,51,31,50
ENSG00000251078,0,0,0,0,0,0
ENSG00000250566,0,0,0,0,0,0
ENSG00000259244,9,7,9,1,9,4
ENSG00000250564,0,0,0,0,0,0
ENSG00000250565,173,43,53,29,67,34
ENSG00000250562,0,0,0,0,0,0
ENSG00000250563,1,0,8,0,0,0
ENSG00000187961,205,162,208,626,227,429
ENSG00000250561,0,1,0,0,0,0
ENSG00000250568,2,4,2,7,1,2
ENSG00000250569,8,9,11,3,0,6
ENSG00000281591,1,1,1,1,1,1
ENSG00000220685,0,4,3,0,0,0
ENSG00000162843,0,2,0,0,2,2
ENSG00000259247,0,0,0,0,0,0
ENSG00000162849,2,7,10,88,3,3
ENSG00000149243,81,159,103,25,0,6
ENSG00000184702,46,355,224,378,538,163
ENSG00000259242,0,0,1,0,0,0
ENSG00000184708,605,338,522,321,311,294
ENSG00000184709,327,501,993,4,11,1
ENSG00000163462,29,190,20,125,40,12
ENSG00000163463,391,594,351,596,409,334
ENSG00000163464,0,1,1,1,1,0
ENSG00000163466,2823,1919,1955,1986,3694,3828
ENSG00000163467,24,11,23,9,1,7
ENSG00000163468,4779,6986,8056,6282,4599,3363
ENSG00000162599,385,481,680,0,99,240
ENSG00000162598,1,1,1,1,3,1
ENSG00000267731,0,0,4,0,0,2
ENSG00000162592,1,1,1,0,0,0
ENSG00000029364,723,1429,870,463,1335,751
ENSG00000267732,0,0,0,0,0,0
ENSG00000267735,1,1,0,2,3,1
ENSG00000029363,1933,1957,2181,1821,1730,2000
ENSG00000267737,2,0,0,0,8,10
ENSG00000162594,0,1,0,0,1,1
ENSG00000263609,0,0,0,0,0,1
ENSG00000263608,0,0,0,0,0,0
ENSG00000118640,763,541,455,2,6,6
ENSG00000263603,0,2,0,0,8,3
ENSG00000168488,1907,2048,1843,2533,2359,1553
ENSG00000263606,5,28,6,10,7,13
ENSG00000259169,53,69,51,52,49,23
ENSG00000253144,0,0,0,0,0,0
ENSG00000253147,0,0,0,0,0,0
ENSG00000253146,0,0,0,1,1,0
ENSG00000253141,0,3,0,1,2,2
ENSG00000115073,722,571,462,133,584,479
ENSG00000253143,0,0,0,0,0,0
ENSG00000253142,0,0,0,0,0,0
ENSG00000259161,0,0,1,0,0,0
ENSG00000259163,0,1,3,0,0,1
ENSG00000259162,0,0,0,0,1,1
ENSG00000259165,2,1,4,1,2,3
ENSG00000259164,9,0,7,1,0,3
ENSG00000259167,0,0,0,0,0,0
ENSG00000259166,0,0,0,0,0,0
ENSG00000213853,2458,1766,2231,499,580,7
ENSG00000213851,1,0,0,1,0,0
ENSG00000258590,1,1,1,0,3,12
ENSG00000213857,1,0,2,1,0,1
ENSG00000213856,177,113,130,118,94,100
ENSG00000213854,2,0,0,0,0,0
ENSG00000213859,131,259,96,160,277,121
ENSG00000178773,21,34,24,470,2,318
ENSG00000225816,1,0,0,0,1,0
ENSG00000280881,0,0,0,0,0,0
ENSG00000225814,0,1,0,0,0,0
ENSG00000225815,0,0,0,0,0,2
ENSG00000225813,0,7,0,0,0,0
ENSG00000225811,1,0,0,0,0,0
ENSG00000225818,0,0,0,0,0,0
ENSG00000225819,0,0,0,0,0,0
ENSG00000229306,0,0,0,0,0,0
ENSG00000229307,0,0,0,0,0,0
ENSG00000229305,1,0,0,0,0,0
ENSG00000229302,0,0,0,0,0,0
ENSG00000229303,0,0,0,0,0,0
ENSG00000229301,0,0,0,0,0,0
ENSG00000229308,0,0,0,0,0,0
ENSG00000229309,0,0,0,0,0,0
ENSG00000278071,0,4,0,0,0,0
ENSG00000240174,0,0,0,0,0,1
ENSG00000278077,0,0,0,1,0,0
ENSG00000278075,0,1,0,0,0,5
ENSG00000055070,1740,1597,1709,2411,1571,1721
ENSG00000227411,0,0,0,0,0,0
ENSG00000155719,2,1,1,0,0,1
ENSG00000227413,0,0,1,0,0,0
ENSG00000227416,0,0,0,0,0,0
ENSG00000227417,0,0,0,0,0,0
ENSG00000162337,1562,1137,1759,493,894,1555
ENSG00000155714,0,1,3,0,0,0
ENSG00000182010,166,543,384,260,90,133
ENSG00000182013,0,3,0,708,4,4
ENSG00000244748,0,0,0,0,0,0
ENSG00000186704,24,28,21,10,40,20
ENSG00000251776,0,0,0,0,0,0
ENSG00000245293,0,1,1,1,0,0
ENSG00000164659,64,119,66,10,6,401
ENSG00000242748,1,1,0,1,1,1
ENSG00000242747,0,0,0,0,1,0
ENSG00000164651,0,0,0,16,3,14
ENSG00000242741,2,0,0,0,0,2
ENSG00000164654,515,412,608,227,146,280
ENSG00000114978,3456,1644,2027,1881,3986,2431
ENSG00000252233,0,0,0,0,0,0
ENSG00000256925,0,0,0,0,0,0
ENSG00000161021,1090,855,1220,819,1220,747
ENSG00000256922,0,0,0,0,0,0
ENSG00000256923,0,0,0,0,0,0
ENSG00000226331,0,1,0,0,0,0
ENSG00000261608,0,0,0,0,0,0
ENSG00000256928,0,0,0,1,0,1
ENSG00000254694,0,0,0,0,3,0
ENSG00000254695,0,0,0,0,0,0
ENSG00000254696,0,0,0,0,0,0
ENSG00000254697,0,0,0,0,0,0
ENSG00000254690,0,2,0,0,0,0
ENSG00000254691,0,2,1,1,0,0
ENSG00000266929,0,0,0,0,0,1
ENSG00000266928,0,0,0,0,0,0
ENSG00000266925,0,0,0,0,0,0
ENSG00000266924,0,0,0,0,0,10
ENSG00000254698,0,0,0,0,0,0
ENSG00000254699,0,0,0,0,0,0
ENSG00000266921,3,2,2,0,8,3
ENSG00000266920,0,2,1,1,1,1
ENSG00000257343,0,0,0,0,0,0
ENSG00000257342,1,0,0,1,0,0
ENSG00000257341,7,1,60,7,9,2
ENSG00000215867,1,0,0,0,0,0
ENSG00000257346,0,0,0,0,1,0
ENSG00000257345,0,0,0,0,0,1
ENSG00000234337,66,149,113,84,75,76
ENSG00000215861,14,9,3,18,47,22
ENSG00000119509,377,181,142,178,400,249
ENSG00000228949,0,0,0,0,0,1
ENSG00000256699,0,0,0,0,0,0
ENSG00000256694,0,0,0,0,0,0
ENSG00000256695,0,1,0,0,0,0
ENSG00000228943,0,0,0,0,0,0
ENSG00000267733,7,0,1,0,8,0
ENSG00000228940,1,0,0,0,0,0
ENSG00000165309,7,10,8,7,0,1
ENSG00000165304,1200,899,501,1725,1238,987
ENSG00000165300,3,194,4,203,2,15
ENSG00000101608,4292,1384,2530,2741,1848,2705
ENSG00000101605,7,1,1,3,10,3
ENSG00000170100,311,359,87,123,42,109
ENSG00000237026,1,0,0,0,1,0
ENSG00000187900,0,0,0,1,0,0
ENSG00000198791,1093,1059,1056,2319,910,1005
ENSG00000198792,1290,1013,1249,956,2334,2122
ENSG00000198793,1339,1633,1407,2417,1330,1097
ENSG00000198794,237,138,57,215,83,128
ENSG00000198795,0,3,1,22,2,2
ENSG00000198796,1,1,1,1996,645,318
ENSG00000198797,68,0,760,0,0,2
ENSG00000231426,0,2,0,0,0,1
ENSG00000197776,22,16,23,22,10,16
ENSG00000231424,0,1,2,0,0,1
ENSG00000175550,547,601,528,961,2328,686
ENSG00000231422,0,0,0,1,0,0
ENSG00000175556,17,0,47,15,4,9
ENSG00000197771,1564,838,582,1113,1298,1607
ENSG00000231421,0,0,0,0,0,0
ENSG00000279848,0,0,0,0,0,0
ENSG00000279849,0,1,0,2,0,0
ENSG00000161682,360,325,214,267,556,82
ENSG00000240173,0,0,0,1,0,0
ENSG00000179420,0,0,0,0,0,0
ENSG00000279840,0,0,0,0,0,0
ENSG00000279841,0,0,0,0,6,0
ENSG00000279842,0,0,0,0,0,0
ENSG00000279844,0,0,0,0,0,1
ENSG00000279845,0,3,1,2,0,10
ENSG00000279846,0,0,0,0,0,0
ENSG00000279847,0,0,0,0,0,1
ENSG00000076321,277,298,359,172,275,223
ENSG00000183864,1279,523,1118,460,843,795
ENSG00000183862,4,0,2,0,0,2
ENSG00000167680,97,139,12,5,1525,2070
ENSG00000124217,458,401,586,228,232,143
ENSG00000124214,3184,2597,5359,2142,1599,1804
ENSG00000124215,17,9,21,0,0,3
ENSG00000124212,1,0,0,75,0,0
ENSG00000167685,299,564,537,250,238,114
ENSG00000247595,5,4,5,4,0,2
ENSG00000161970,3936,4706,3247,9062,4428,2927
ENSG00000175073,218,621,500,646,305,360
ENSG00000161973,0,0,0,0,0,0
ENSG00000255279,0,0,0,0,0,0
ENSG00000255275,2,2,5,0,7,0
ENSG00000255274,1,0,0,0,0,0
ENSG00000255277,9,46,0,1,4,1
ENSG00000255276,1,3,0,0,0,0
ENSG00000255271,0,0,0,0,0,0
ENSG00000255270,0,0,0,0,0,0
ENSG00000255273,0,0,0,0,0,0
ENSG00000255272,0,0,0,0,0,1
ENSG00000239670,0,0,0,1,1,0
ENSG00000160087,447,467,420,819,405,531
ENSG00000036054,458,394,399,646,424,312
ENSG00000104903,0,0,1,0,32,1
ENSG00000228349,0,0,0,0,0,0
