"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig","symbol","entrez","genename"
"ENSG00000104332",2223.37810297854,14.6691133497214,2.93604833773341,4.99620975622143,5.84680643658454e-07,1.85594657245988e-05,"TRUE","ENSG00000104332","6422","secreted frizzled related protein 1"
"ENSG00000087245",2471.25787351017,13.8597944297008,1.74696128477696,7.93365860507336,NA,NA,NA,"ENSG00000087245","4313","matrix metallopeptidase 2"
"ENSG00000235123",1329.53928656924,-13.7600506795295,1.72395590175065,-7.98167207499701,1.44364143245441e-15,2.20378426670677e-13,"TRUE","ENSG00000235123","100506492","DSCAM antisense RNA 1"
"ENSG00000160180",527.251400536162,-12.4256292157437,1.64709119118916,-7.54398377103376,4.55827890748665e-14,5.50666326723135e-12,"TRUE","ENSG00000160180","7033","trefoil factor 3"
"ENSG00000214548",912.006343167419,12.4215464774423,1.79515734546517,6.91947505817299,4.53320288590666e-12,3.73144817941885e-10,"TRUE","ENSG00000214548","55384","maternally expressed 3"
"ENSG00000132746",1675.89096278169,-12.245710313719,1.45852767617656,-8.39593962715906,4.6218309088108e-17,8.81929370690352e-15,"TRUE","ENSG00000132746","222","aldehyde dehydrogenase 3 family member B2"
"ENSG00000113140",5352.20861606397,12.0766676635306,0.708581705575291,17.0434370073464,3.91059103202193e-65,3.28333223048562e-61,"TRUE","ENSG00000113140","6678","secreted protein acidic and cysteine rich"
"ENSG00000144810",706.395113553588,12.0528498913793,2.08155473157175,5.79031130364675,NA,NA,NA,"ENSG00000144810","1295","collagen type VIII alpha 1 chain"
"ENSG00000147065",4205.56973879758,11.9268966289696,0.692194859402433,17.2305478247353,1.56660591454451e-66,2.63064465170314e-62,"TRUE","ENSG00000147065","4478","moesin"
"ENSG00000152495",307.664854445433,11.8157920594895,1.58367738791957,7.46098425703453,8.58785130074869e-14,9.67833550618604e-12,"TRUE","ENSG00000152495","814","calcium/calmodulin dependent protein kinase IV"
"ENSG00000082175",4165.0213672153,-11.7493036029274,1.27396974169966,-9.22259235706194,2.90002559709128e-20,8.69684111270278e-18,"TRUE","ENSG00000082175","5241","progesterone receptor"
"ENSG00000178860",284.054626043258,11.7005621200632,1.82345151024882,6.41671141475351,NA,NA,NA,"ENSG00000178860","9242","musculin"
"ENSG00000171345",12721.0614742895,-11.6768420746549,0.696744471084126,-16.7591456541964,4.85551235178575e-63,2.71779211370621e-59,"TRUE","ENSG00000171345","3880","keratin 19"
"ENSG00000119865",255.915089065402,11.5504741814234,1.36971059147114,8.43278445340604,3.37536064315485e-17,6.66812422586544e-15,"TRUE","ENSG00000119865","25927","cannabinoid receptor interacting protein 1"
"ENSG00000166825",6511.58622100563,11.5391644957521,1.05774240649873,10.9092387946781,1.04124555083514e-27,8.32599775696365e-25,"TRUE","ENSG00000166825","290","alanyl aminopeptidase, membrane"
"ENSG00000189334",1066.70418400333,-11.5247621138374,1.84655684049649,-6.24121709177318,4.34179152007298e-10,2.54032624407893e-08,"TRUE","ENSG00000189334","57402","S100 calcium binding protein A14"
"ENSG00000275216",224.353560746205,11.3605805232736,1.52833584218686,7.43330111725834,1.05920402017986e-13,1.17014170439869e-11,"TRUE","ENSG00000275216",NA,NA
"ENSG00000255248",222.800088657088,11.3500485743171,1.51683021125919,7.48274163453991,7.27878933363683e-14,8.31465513540338e-12,"TRUE","ENSG00000255248","399959","mir-100-let-7a-2-mir-125b-1 cluster host gene"
"ENSG00000182107",471.656002574422,-11.3026566649117,1.2966986412134,-8.71648685799125,2.86967262008718e-18,6.42500568486718e-16,"TRUE","ENSG00000182107","161291","transmembrane protein 30B"
"ENSG00000255690",235.403880456484,-11.2622831435723,1.67645819103666,-6.71790278086689,1.84358620653996e-11,1.34015149697918e-09,"TRUE","ENSG00000255690","9865","TLR4 interactor with leucine rich repeats"
"ENSG00000137747",225.506205833254,-11.2005528532171,1.34485981121553,-8.32841665711883,8.19307179596678e-17,1.51184683074587e-14,"TRUE","ENSG00000137747","84000","transmembrane serine protease 13"
"ENSG00000119888",1221.82329210108,-11.1917646883102,1.08569495950343,-10.3083878121981,6.45754714784294e-25,3.87268327523495e-22,"TRUE","ENSG00000119888","4072","epithelial cell adhesion molecule"
"ENSG00000170955",374.262107484331,11.1363134750891,1.43572371328447,7.75658531794594,8.72466224784428e-15,1.13569401911474e-12,"TRUE","ENSG00000170955","112464","caveolae associated protein 3"
"ENSG00000169715",371.591552821404,11.1258846273672,1.61186827266174,6.90247758831721,5.11032867168846e-12,4.10586789736807e-10,"TRUE","ENSG00000169715","4493","metallothionein 1E"
"ENSG00000163873",382.587281386634,-11.0005011161843,1.42458754005274,-7.72188497154555,1.14621813703618e-14,1.48056115054704e-12,"TRUE","ENSG00000163873","2899","glutamate ionotropic receptor kainate type subunit 3"
"ENSG00000064787",1068.61516247504,-10.9742958190149,1.57455588095478,-6.96977220799576,NA,NA,NA,"ENSG00000064787","8537","brain enriched myelin associated protein 1"
"ENSG00000149418",2082.83716004908,-10.9365708798583,0.989876059545185,-11.0484244713255,2.23095770618028e-28,1.87311209010897e-25,"TRUE","ENSG00000149418","6768","ST14 transmembrane serine protease matriptase"
"ENSG00000196611",316.335755188154,10.8932667627967,1.64792866085582,6.61027811552201,3.83598672103061e-11,2.67540380960205e-09,"TRUE","ENSG00000196611","4312","matrix metallopeptidase 1"
"ENSG00000112837",308.337544123057,10.8566114768314,1.38308345931775,7.84957075705817,4.17463597911875e-15,5.8417072801135e-13,"TRUE","ENSG00000112837","9096","T-box transcription factor 18"
"ENSG00000238266",152.795139909746,10.8061350118906,1.58253200400106,6.82838323937199,8.58769221213714e-12,6.60070069108818e-10,"TRUE","ENSG00000238266","100507127","long intergenic non-protein coding RNA 707"
"ENSG00000163661",817.056792463955,10.7810295811046,1.63612203899554,6.58937984095821,NA,NA,NA,"ENSG00000163661","5806","pentraxin 3"
"ENSG00000116962",806.681260863757,10.7627072155912,1.58562356312487,6.78768117848886,1.13950115566474e-11,8.42929665459132e-10,"TRUE","ENSG00000116962","4811","nidogen 1"
"ENSG00000081041",287.514959469133,10.7554138382686,1.41729855931304,7.58867196159551,3.23200836210129e-14,3.96145141725583e-12,"TRUE","ENSG00000081041","2920","C-X-C motif chemokine ligand 2"
"ENSG00000085662",6611.23873433619,10.6783627249854,1.04779297761979,10.191290601358,2.16865821877871e-24,1.21387029365774e-21,"TRUE","ENSG00000085662","231","aldo-keto reductase family 1 member B"
"ENSG00000166741",739.543657063645,10.6028801099476,1.1010243025135,9.63001460162374,5.97209919957926e-22,2.18007586433337e-19,"TRUE","ENSG00000166741","4837","nicotinamide N-methyltransferase"
"ENSG00000163734",242.724264511936,10.5108732092658,1.6958183098698,6.19811282145715,NA,NA,NA,"ENSG00000163734","2921","C-X-C motif chemokine ligand 3"
"ENSG00000127084",136.41336574968,-10.4748948042962,1.48776528437721,-7.04069043302155,1.91289573595584e-12,1.67298672907138e-10,"TRUE","ENSG00000127084","89846","FYVE, RhoGEF and PH domain containing 3"
"ENSG00000138944",449.734528453778,10.4703793970119,1.34609499557509,7.77833617347243,7.34845830193237e-15,9.87162494448387e-13,"TRUE","ENSG00000138944","85352","shisa like 1"
"ENSG00000184731",134.376442687733,-10.4536341297488,1.45180263597755,-7.20045126706221,6.00136043903191e-13,5.92793202895434e-11,"TRUE","ENSG00000184731","642273","family with sequence similarity 110 member C"
"ENSG00000073756",233.17159401089,10.4531252892936,1.36637340778641,7.65026985282753,2.00557986000958e-14,2.51326097084186e-12,"TRUE","ENSG00000073756","5743","prostaglandin-endoperoxide synthase 2"
"ENSG00000119411",261.127287441814,-10.4494210610654,1.29228919061068,-8.08597730058198,6.1667672394462e-16,1.00536267460952e-13,"TRUE","ENSG00000119411","54836","B-box and SPRY domain containing"
"ENSG00000169429",2472.26914262988,10.4265777725373,1.32633763560288,7.86117915427924,3.80534061795056e-15,5.41519319123947e-13,"TRUE","ENSG00000169429","3576","C-X-C motif chemokine ligand 8"
"ENSG00000132698",483.314011819536,-10.4250646060819,1.21056595325734,-8.61172790960339,7.19674925926584e-18,1.52971915900749e-15,"TRUE","ENSG00000132698","57111","RAB25, member RAS oncogene family"
"ENSG00000136732",116.963341365638,10.4202068897092,1.5926161005971,6.54282402758736,6.03678497402411e-11,4.03863319855828e-09,"TRUE","ENSG00000136732","2995","glycophorin C (Gerbich blood group)"
"ENSG00000198888",2177.57846969784,10.411793135901,1.64444725933013,6.33148498793585,NA,NA,NA,"ENSG00000198888","4535","NADH dehydrogenase subunit 1"
"ENSG00000106541",2237.94356765568,-10.3703021787151,0.895656083068664,-11.5784421886409,5.30004201309285e-31,5.23519444022677e-28,"TRUE","ENSG00000106541","10551","anterior gradient 2, protein disulphide isomerase family member"
"ENSG00000145335",217.68216181183,10.3538108344964,1.70529664245562,6.07155997186918,1.26673637262165e-09,6.73134087628565e-08,"TRUE","ENSG00000145335","6622","synuclein alpha"
"ENSG00000050165",824.473814368243,10.3375620513418,1.25691577730031,8.22454633638663,1.95931038105345e-16,3.47366479270106e-14,"TRUE","ENSG00000050165","27122","dickkopf WNT signaling pathway inhibitor 3"
"ENSG00000165025",234.950442805411,-10.2969594566866,1.41483093370241,-7.27787272062316,3.39125051156811e-13,3.50642092365614e-11,"TRUE","ENSG00000165025","6850","spleen associated tyrosine kinase"
"ENSG00000084207",2193.70273447217,10.2847138702721,0.874776083328448,11.7569673728843,6.50282420108912e-32,6.82471399904303e-29,"TRUE","ENSG00000084207","2950","glutathione S-transferase pi 1"
"ENSG00000134954",577.810773019367,10.2833419220732,0.953925443380364,10.7800268809612,4.27760745717941e-27,3.26498111004348e-24,"TRUE","ENSG00000134954","2113","ETS proto-oncogene 1, transcription factor"
"ENSG00000253250",105.006767721487,10.2648685410714,1.37287331378888,7.47692335335896,7.60827579756925e-14,8.63230859410694e-12,"TRUE","ENSG00000253250","100127983","chromosome 8 open reading frame 88"
