gene_id	gene_name	MCF7_count	MCF7_FPKM																			
ENSG00000282222	RP11-126O22.8	0	0																			
ENSG00000282221	RP11-27G14.4	24	3.757272995																			
ENSG00000110514	MADD	1392	8.680786239																			
ENSG00000086015	MAST2	1211	9.436998623																			
ENSG00000250337	LINC01021	51	1.299943578																			
ENSG00000169740	ZNF32	239	7.791667214																			
ENSG00000215869	RP11-364B6.2	0	0																			
ENSG00000261609	GAN	843	4.744524992																			
ENSG00000169744	LDB2	1	0.007313964																			
ENSG00000261607	RP11-812E19.5	0	0																			
ENSG00000261606	RP11-414J4.2	3	0.026940109																			
ENSG00000215866	LINC01356	1	0.032588353																			
ENSG00000261604	CTD-2636A23.2	3	0.094339044																			
ENSG00000261603	PRSS46	0	0																			
ENSG00000261602	CTD-2033A16.1	1	0.151379984																			
ENSG00000261600	RP11-575H3.1	4	0.659420387																			
ENSG00000266469	CTB-131K11.1	84	8.50202619																			
ENSG00000168298	HIST1H1E	4	0.461769183																			
ENSG00000168297	PXK	127	0.902498319																			
ENSG00000266460	RP11-173L6.1	0	0																			
ENSG00000266466	RP11-822E23.2	0	0																			
ENSG00000266467	RN7SL220P	1	0.29014497																			
ENSG00000168291	PDHB	475	4.033783724																			
ENSG00000262558	RP11-1260E13.3	2	0.190675774																			
ENSG00000270591	RP11-73M18.11	2	0.278985548																			
ENSG00000262554	LA16c-360H6.2	3	1.255434967																			
ENSG00000254141	RP11-642D21.1	0	0																			
ENSG00000225108	ZBTB45P1	7	0.418478322																			
ENSG00000281046	Metazoa_SRP	0	0																			
ENSG00000270593	RP11-455J15.1	0	0																			
ENSG00000225100	DPY19L2P5	0	0																			
ENSG00000225101	OR52K3P	0	0																			
ENSG00000225102	RP11-456H18.1	0	0																			
ENSG00000233579	KRT8P15	1	0.059988622																			
ENSG00000225105	LINC01076	0	0																			
ENSG00000225106	RP11-429E11.2	0	0																			
ENSG00000225107	AC092484.1	0	0																			
ENSG00000226457	RP11-430L17.1	1	0.228460606																			
ENSG00000226455	RP3-512E2.2	0	0																			
ENSG00000226454	RP3-462C17.1	0	0																			
ENSG00000149792	MRPL49	1143	9.720784362																			
ENSG00000226450	CYP2D8P	8	0.467347603																			
ENSG00000141854	CTB-55O6.8	300	4.517905483																			
ENSG00000149798	CDC42EP2	102	2.688859672																			
ENSG00000183055	FAM133CP	6	0.741847935																			
ENSG00000183054	RGPD6	67	0.32854505																			
ENSG00000251078	SLC25A5P9	0	0																			
ENSG00000250566	UGT2B29P	0	0																			
ENSG00000259244	RP11-182J1.12	9	1.592258983																			
ENSG00000250564	RP11-215P8.4	0	0																			
ENSG00000250565	ATP6V1E2	173	2.112328767																			
ENSG00000250562	RPL38P4	0	0																			
