gene_id	gene_name	T47D_count	T47D_FPKM												
ENSG00000282222	RP11-126O22.8	0	0												
ENSG00000282221	RP11-27G14.4	15	2.442964933												
ENSG00000110514	MADD	1290	8.368711592												
ENSG00000086015	MAST2	974	7.895830755												
ENSG00000250337	LINC01021	55	1.458358387												
ENSG00000169740	ZNF32	391	13.26044648												
ENSG00000215869	RP11-364B6.2	1	0.016090251												
ENSG00000261609	GAN	238	1.39344904												
ENSG00000169744	LDB2	0	0												
ENSG00000261607	RP11-812E19.5	0	0												
ENSG00000261606	RP11-414J4.2	0	0												
ENSG00000215866	LINC01356	8	0.271202404												
ENSG00000261604	CTD-2636A23.2	7	0.228977456												
ENSG00000261603	PRSS46	0	0												
ENSG00000261602	CTD-2033A16.1	1	0.157516563												
ENSG00000261600	RP11-575H3.1	0	0												
ENSG00000266469	CTB-131K11.1	259	27.2704755												
ENSG00000168298	HIST1H1E	4	0.480359165												
ENSG00000168297	PXK	832	6.150560697												
ENSG00000266460	RP11-173L6.1	0	0												
ENSG00000266466	RP11-822E23.2	0	0												
ENSG00000266467	RN7SL220P	0	0												
ENSG00000168291	PDHB	1295	11.44031602												
ENSG00000262558	RP11-1260E13.3	0	0												
ENSG00000270591	RP11-73M18.11	3	0.435286517												
ENSG00000262554	LA16c-360H6.2	4	1.741301973												
ENSG00000254141	RP11-642D21.1	2	0.25299448												
ENSG00000225108	ZBTB45P1	0	0												
ENSG00000281046	Metazoa_SRP	0	0												
ENSG00000270593	RP11-455J15.1	0	0												
ENSG00000225100	DPY19L2P5	0	0												
ENSG00000225101	OR52K3P	0	0												
ENSG00000225102	RP11-456H18.1	0	0												
ENSG00000233579	KRT8P15	0	0												
ENSG00000225105	LINC01076	0	0												
ENSG00000225106	RP11-429E11.2	0	0												
ENSG00000225107	AC092484.1	0	0												
ENSG00000226457	RP11-430L17.1	3	0.712910201												
ENSG00000226455	RP3-512E2.2	0	0												
ENSG00000226454	RP3-462C17.1	0	0												
ENSG00000149792	MRPL49	2452	21.6932638												
ENSG00000226450	CYP2D8P	0	0												
ENSG00000141854	CTB-55O6.8	103	1.613629444												
ENSG00000149798	CDC42EP2	68	1.864760251												
ENSG00000183055	FAM133CP	3	0.38582214												
ENSG00000183054	RGPD6	4	0.020403967												
ENSG00000251078	SLC25A5P9	0	0												
ENSG00000250566	UGT2B29P	0	0												
ENSG00000259244	RP11-182J1.12	7	1.288230889												
ENSG00000250564	RP11-215P8.4	0	0												
ENSG00000250565	ATP6V1E2	43	0.546180595												
ENSG00000250562	RPL38P4	0	0												
ENSG00000250563	KNOP1P5	0	0												
ENSG00000187961	KLHL17	162	2.62185217												
ENSG00000250561	OR7E59P	1	0.090572024												
ENSG00000250568	RP11-333E13.2	4	1.149812097												
ENSG00000250569	NTAN1P2	9	0.866971962												
ENSG00000281591	DBET	1	0.026931913												
ENSG00000220685	RP11-530A18.1	4	0.30487442												
ENSG00000162843	WDR64	2	0.025672342												
ENSG00000259247	TTTY25P	0	0												
ENSG00000162849	KIF26B	7	0.036974075												
ENSG00000149243	KLHL35	159	1.84560272												
ENSG00000184702	5-Sep	355	2.442673064												
ENSG00000259242	AC002306.1	0	0												
ENSG00000184708	EIF4ENIF1	338	2.799683953												
ENSG00000184709	LRRC26	501	37.52355657												
ENSG00000163462	TRIM46	190	2.007783388												
ENSG00000163463	KRTCAP2	594	10.25884706												
ENSG00000163464	CXCR1	1	0.036403547												
ENSG00000163466	ARPC2	1919	15.74546497												
ENSG00000163467	TSACC	11	0.419056665												
ENSG00000163468	CCT3	6986	84.03133586												
ENSG00000162599	NFIA	481	2.441830383												
ENSG00000162598	C1orf87	1	0.016428809												
ENSG00000267731	RP11-147L13.8	0	0												
ENSG00000162592	CCDC27	1	0.026459838												
ENSG00000029364	SLC39A9	1429	8.466732263												
ENSG00000267732	RP11-456O19.3	0	0												
ENSG00000267735	CTD-2265O21.7	1	0.198622859												
ENSG00000029363	BCLAF1	1957	6.931660864												
ENSG00000267737	AC061992.2	0	0												
ENSG00000162594	IL23R	1	0.014167374												
ENSG00000263609	RP11-1109M24.16	0	0												
ENSG00000263608	RN7SL353P	0	0												
ENSG00000118640	VAMP8	541	33.34784566												
ENSG00000263603	CTD-2349P21.5	2	0.156834673												
ENSG00000168488	ATXN2L	2048	10.16710628												
ENSG00000263606	RP11-737O24.3	28	1.127360141												
ENSG00000259169	GNRHR2P1	69	9.901759701												
ENSG00000253144	RP11-281O15.7	0	0												
ENSG00000253147	RP11-369E15.4	0	0												
ENSG00000253146	CIR1P1	0	0												
ENSG00000253141	CTB-164N12.1	3	0.225409781												
ENSG00000115073	ACTR1B	571	13.73657412												
ENSG00000253143	RP11-333A23.3	0	0												
ENSG00000253142	RP11-87E22.1	0	0												
ENSG00000259161	CTD-2017C7.3	0	0												
ENSG00000259163	RP11-1078H9.5	1	0.052596994												
ENSG00000259162	RP11-203M5.6	0	0												
ENSG00000259165	DDX18P1	1	0.045467883												
ENSG00000259164	RP11-463C8.4	0	0												
ENSG00000259167	NMNAT1P1	0	0												
ENSG00000259166	RP11-1029J19.2	0	0												
ENSG00000213853	EMP2	1766	17.41210142												
ENSG00000213851	RP11-324J13.1	0	0												
ENSG00000258590	NBEAP1	1	0.023555793												
